2025-12-08 18:57:58 | src.data_processing.table_processor | ERROR    | Error processing table 27 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:49 | src.data_processing.table_processor | ERROR    | Error processing table 28 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:50 | src.data_processing.table_processor | ERROR    | Error processing table 29 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:50 | src.data_processing.table_processor | ERROR    | Error processing table 30 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:50 | src.data_processing.table_processor | ERROR    | Error processing table 31 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:51 | src.data_processing.table_processor | ERROR    | Error processing table 32 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:51 | src.data_processing.table_processor | ERROR    | Error processing table 33 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:51 | src.data_processing.table_processor | ERROR    | Error processing table 34 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:51 | src.data_processing.table_processor | ERROR    | Error processing table 35 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:52 | src.data_processing.table_processor | ERROR    | Error processing table 36 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:52 | src.data_processing.table_processor | ERROR    | Error processing table 37 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:53 | src.data_processing.table_processor | ERROR    | Error processing table 38 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:53 | src.data_processing.table_processor | ERROR    | Error processing table 39 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:53 | src.data_processing.table_processor | ERROR    | Error processing table 40 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:54 | src.data_processing.table_processor | ERROR    | Error processing table 41 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:54 | src.data_processing.table_processor | ERROR    | Error processing table 42 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:54 | src.data_processing.table_processor | ERROR    | Error processing table 43 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:54 | src.data_processing.table_processor | ERROR    | Error processing table 44 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:55 | src.data_processing.table_processor | ERROR    | Error processing table 45 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:55 | src.data_processing.table_processor | ERROR    | Error processing table 46 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:55 | src.data_processing.table_processor | ERROR    | Error processing table 47 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:55 | src.data_processing.table_processor | ERROR    | Error processing table 48 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:56 | src.data_processing.table_processor | ERROR    | Error processing table 49 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:56 | src.data_processing.table_processor | ERROR    | Error processing table 50 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:56 | src.data_processing.table_processor | ERROR    | Error processing table 51 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:57 | src.data_processing.table_processor | ERROR    | Error processing table 52 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:57 | src.data_processing.table_processor | ERROR    | Error processing table 53 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:57 | src.data_processing.table_processor | ERROR    | Error processing table 54 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:57 | src.data_processing.table_processor | ERROR    | Error processing table 55 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:58 | src.data_processing.table_processor | ERROR    | Error processing table 56 in 1A: DataFrame columns must be unique for orient='records'.
