2025-12-10 17:45:57 | root                           | INFO     | Logging initialized: INFO level, log_dir: C:\Users\suraj\Hariharan\Assignments\Term3\MLOps\MLOps-Project\Automated_Due_Dillegence_Market_Intelligence_Agent_v2\Data_Pipeline\logs
2025-12-10 17:46:02 | httpx                          | INFO     | HTTP Request: GET https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2025-12-10 17:46:02 | src.cloud.qdrant_connector     | INFO     | Connected to Qdrant Cloud: https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io
2025-12-10 17:46:02 | src.cloud.gcs_connector        | INFO     | Using credentials from: gcp-credentials.json
2025-12-10 17:46:02 | src.cloud.gcs_connector        | INFO     | GCSConnector initialized for bucket: pipeline-data-table_rawdata
2025-12-10 17:46:02 | src.cloud.gcs_connector        | INFO     | Bucket 'pipeline-data-table_rawdata' exists
2025-12-10 17:46:02 | src.cloud.postgres_connector   | INFO     | Initializing PostgreSQL connection to aws-1-us-east-2.pooler.supabase.com:5432/postgres
2025-12-10 17:46:03 | src.cloud.postgres_connector   | INFO     | Connection pool created (min=1, max=10)
2025-12-10 17:46:03 | httpx                          | INFO     | HTTP Request: GET https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data "HTTP/1.1 200 OK"
2025-12-10 17:46:10 | httpx                          | INFO     | HTTP Request: DELETE https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data "HTTP/1.1 200 OK"
2025-12-10 17:46:10 | httpx                          | INFO     | HTTP Request: GET https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | src.cloud.qdrant_connector     | INFO     | Created collection: company_data (size=1024, distance=Cosine)
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:11 | httpx                          | INFO     | HTTP Request: PUT https://d6dab3aa-374c-4937-b8c9-ac09e19d59ab.us-east4-0.gcp.cloud.qdrant.io:6333/collections/company_data/index?wait=true "HTTP/1.1 200 OK"
2025-12-10 17:46:12 | src.cloud.gcs_connector        | INFO     | Listed 38 files with prefix 'raw/sec/'
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_1.json', 'size': 594353, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 27, 490000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_1A.json', 'size': 5713, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 31, 914000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_2.json', 'size': 122076, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 31, 259000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_3.json', 'size': 952, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 31, 460000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_4.json', 'size': 1967, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 31, 660000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_5.json', 'size': 1334, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 32, 85000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2023/0000320193-24-000006_section_6.json', 'size': 13765, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 32, 721000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_1.json', 'size': 712826, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 13, 123000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_1A.json', 'size': 5920, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 17, 642000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_2.json', 'size': 163612, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 16, 955000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_3.json', 'size': 947, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 17, 169000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_4.json', 'size': 1962, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 17, 361000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000069_section_6.json', 'size': 13762, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 18, 215000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_1.json', 'size': 715803, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 58, 337000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_1A.json', 'size': 1408, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 2, 860000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_2.json', 'size': 164354, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 2, 307000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_3.json', 'size': 948, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 2, 500000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_4.json', 'size': 1960, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 2, 683000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_5.json', 'size': 1123, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 3, 27000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000081_section_6.json', 'size': 13762, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 3, 558000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_1.json', 'size': 18468, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 18, 947000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_10.json', 'size': 1545, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 251000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_11.json', 'size': 606, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 425000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_12.json', 'size': 718, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 604000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_13.json', 'size': 708, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 804000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_14.json', 'size': 672, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 976000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_15.json', 'size': 175612, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 48, 875000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_1A.json', 'size': 77719, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 20, 646000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_1C.json', 'size': 3256, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 20, 958000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_2.json', 'size': 925, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 21, 135000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_3.json', 'size': 4923, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 21, 377000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_5.json', 'size': 40951, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 22, 651000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_7.json', 'size': 115582, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 26, 116000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_7A.json', 'size': 12916, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 26, 698000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_8.json', 'size': 1023733, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 44, 86000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_9.json', 'size': 548, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 44, 593000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_9A.json', 'size': 5827, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 44, 869000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:19 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/sec/AAPL/2024/0000320193-24-000123_section_9B.json', 'size': 1824, 'updated': datetime.datetime(2025, 12, 10, 4, 1, 45, 69000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:20 | src.cloud.gcs_connector        | INFO     | Listed 1 files with prefix 'raw/wikipedia/'
2025-12-10 17:46:23 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/wikipedia/AAPL/Apple_Inc..json', 'size': 181583, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 36, 462000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:23 | src.cloud.gcs_connector        | INFO     | Listed 10 files with prefix 'raw/news/'
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_.json', 'size': 7674, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 54, 119000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_125713383.cms.json', 'size': 8995, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 52, 417000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_apple-black-friday-2025.html.json', 'size': 25809, 'updated': datetime.datetime(2025, 12, 10, 2, 40, 4, 360000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_apple-open-first-retail-store-noida-dec-11-fifth-o.json', 'size': 5180, 'updated': datetime.datetime(2025, 12, 10, 2, 40, 7, 571000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_apple-to-open-fifth-india-store-at-noida-on-decemb.json', 'size': 4552, 'updated': datetime.datetime(2025, 12, 10, 2, 40, 7, 802000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_best-apple-black-friday-deals-2025-nov-28.html.json', 'size': 6120, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 49, 868000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_best-apple-black-friday-deals-2025-nov-29.html.json', 'size': 6123, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 50, 122000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_how-to-disable-apple-intelligence-features-on-maco.json', 'size': 10368, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 53, 174000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_im-tracking-the-best-apple-watch-cyber-monday-deal.json', 'size': 46018, 'updated': datetime.datetime(2025, 12, 10, 2, 40, 5, 127000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.gcs_connector        | ERROR    | Delete failed: {'name': 'raw/news/AAPL/20251209_report-paid-subscription-for-mls-on-apple-tv-to-en.json', 'size': 4472, 'updated': datetime.datetime(2025, 12, 10, 4, 2, 52, 894000, tzinfo=datetime.timezone.utc), 'content_type': 'application/json', 'metadata': None} could not be converted to unicode
2025-12-10 17:46:28 | src.cloud.postgres_connector   | INFO     | All database connections closed
